Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover
03-01-2000,293.5,293.5,293.5,293.5,293.5,22744,6.67536E+11
04-01-2000,317,317,297,304,304.05,255251,7.74997E+12
05-01-2000,290,303.9,285,295,292.8,269087,7.92537E+12
06-01-2000,301,314,295,296,296.45,305916,9.18167E+12
07-01-2000,290,296.35,281,287.1,286.55,197039,5.69048E+12
10-01-2000,292,296,285,288.4,287.2,133363,3.85978E+12
11-01-2000,290,292,273.25,282.85,283.85,337411,9.60062E+12
12-01-2000,287,293,284.5,285.25,285.6,222537,6.40022E+12
13-01-2000,288,290.5,283,284,283.85,113238,3.23674E+12
14-01-2000,284,294,276.25,291,286.55,152322,4.3199E+12
17-01-2000,302,309.5,295,303.5,302.2,500852,1.51693E+13
18-01-2000,307,317.85,301.05,305.25,305.75,369304,1.13958E+13
19-01-2000,310,315,303.05,304.5,305.25,377937,1.16776E+13
20-01-2000,303,306,288,291.9,291.35,208122,6.19317E+12
21-01-2000,292,307,290,299.5,299.55,591458,1.7799E+13
24-01-2000,306,306,291,294,293.05,207336,6.12841E+12
25-01-2000,285,308.95,281,305.5,303.15,512403,1.53494E+13
27-01-2000,315.9,316.6,309.9,316.6,316.6,838826,2.65087E+13
28-01-2000,328.5,328.9,315,326,324.4,1224604,3.95942E+13
31-01-2000,328.7,349.95,320.05,332.5,333.5,1449638,4.87205E+13
01-02-2000,337,353.9,335,351.25,350.55,1220141,4.21363E+13
02-02-2000,355,357,342,349,351.4,1124774,3.93478E+13
03-02-2000,345.55,351.5,338.15,342,341.9,338774,1.16595E+13
04-02-2000,342,362.4,341,350,357.2,1393426,4.9158E+13
07-02-2000,351,362.5,348.15,355,355.45,834598,2.9803E+13
08-02-2000,359,359,345.6,351,350.5,527223,1.85433E+13
09-02-2000,354,354,322.5,325,329.15,918950,3.04181E+13
10-02-2000,329,329,311.6,321,320.35,406175,1.30201E+13
11-02-2000,327,346,313,346,343.65,1361815,4.60719E+13
14-02-2000,354,369,345,354,359.15,1457178,5.23636E+13
15-02-2000,352.35,353.5,330.45,332,332.6,629569,2.13646E+13
16-02-2000,350,354.8,338.1,342.2,341.6,252848,8.69292E+12
17-02-2000,336,347,336,339,339.2,120854,4.12668E+12
18-02-2000,339,340,325,326.5,327.9,161499,5.33229E+12
21-02-2000,329,334,317.05,318,319.15,206189,6.74025E+12
22-02-2000,317,319.4,301.2,305,305.95,285365,8.89501E+12
23-02-2000,317,330.45,315,330.45,330.45,177171,5.8459E+12
24-02-2000,349.85,356,332,354,351.7,385844,1.33948E+13
25-02-2000,354,379.85,351.1,379.85,379.85,230532,8.62097E+12
28-02-2000,405.5,410.25,380.5,410.25,409.7,643659,2.57688E+13
29-02-2000,420,442.5,376.95,395,401.7,1014948,4.26175E+13
01-03-2000,405,433.85,400,433.85,433.85,494473,2.08603E+13
02-03-2000,456.9,468.6,442,468.6,468.6,542377,2.52607E+13
03-03-2000,489,489,431.15,471,473.05,878831,4.01123E+13
06-03-2000,479,479,435.25,438.5,443.5,670934,3.03504E+13
07-03-2000,447,447,408.05,413.1,412.2,377112,1.58089E+13
08-03-2000,415,425,391.05,415,416.7,370922,1.53889E+13
09-03-2000,419,419,388.1,397,399.6,167704,6.7204E+12
10-03-2000,400,408.9,390.3,395,397.55,181580,7.26017E+12
13-03-2000,386.1,406,367,382.55,381.6,225462,8.81329E+12
14-03-2000,385,400,367,397,396.65,207168,8.06177E+12
15-03-2000,406,406.8,386,400,400.5,118712,4.67806E+12
16-03-2000,405.85,405.85,395.1,399,398.2,90678,3.60986E+12
21-03-2000,398,427,397,411.5,406.35,178957,7.36419E+12
22-03-2000,414,428.8,374,415.5,413.25,192789,7.95185E+12
23-03-2000,424,446.35,404,411.4,409.85,211811,9.07807E+12
24-03-2000,409.95,420,402.6,416,416.8,71629,2.9599E+12
27-03-2000,415,444.7,411.5,414,417.4,238780,1.01292E+13
28-03-2000,424.85,424.85,405.15,413.9,412.7,130006,5.36006E+12
29-03-2000,418.6,418.6,379.7,379.7,380.3,148043,5.85418E+12
30-03-2000,378,378,356.1,362,363.85,93015,3.38002E+12
31-03-2000,357,393,354,393,393,370725,1.43087E+13
03-04-2000,419,424.45,419,424.45,424.45,31159,1.3222E+12
04-04-2000,444,458.45,442,458.45,458.45,805679,3.68994E+13
05-04-2000,480,482.4,438,467.95,469.8,514772,2.36719E+13
06-04-2000,460,465,436.75,463.9,459.25,468924,2.10026E+13
07-04-2000,461,496,461,488,490.95,700690,3.41874E+13
10-04-2000,493.9,504,466,473.1,477.7,1310089,6.3285E+13
11-04-2000,470.05,470.05,457,466.95,464.3,215434,1.00151E+13
12-04-2000,460,464,441,456,453.25,354603,1.59794E+13
13-04-2000,449,476,430.05,450.1,448.7,385230,1.7419E+13
17-04-2000,444.55,444.55,415.3,432.55,433.1,598152,2.56484E+13
18-04-2000,444,453.75,435.3,444,445.4,310013,1.37812E+13
19-04-2000,432,463,431,459,459.35,330468,1.50449E+13
20-04-2000,459,494,446.1,471,475.1,595755,2.79747E+13
24-04-2000,470,475,444.2,446.9,448.05,216848,9.88999E+12
25-04-2000,444.15,459.9,428,456,456.9,338916,1.51577E+13
26-04-2000,470,474,452.2,454,460.65,386877,1.78598E+13
27-04-2000,458,464,446.6,460,460.15,201467,9.23628E+12
28-04-2000,460,477.7,460,470,472.35,390555,1.83707E+13
02-05-2000,475,492.45,460.55,487,479.35,462409,2.20118E+13
03-05-2000,451.8,468,446,461.25,460.85,233426,1.06795E+13
04-05-2000,470,470,445.15,456.5,455.75,275982,1.25712E+13
05-05-2000,453,453,437.25,445.5,449,283657,1.26102E+13
08-05-2000,440,449.75,430,439,437.55,254477,1.11153E+13
09-05-2000,433.1,434.9,415.5,430,424.95,279993,1.19043E+13
10-05-2000,423,447,410,440.15,441.75,163704,7.09335E+12
11-05-2000,437,467,437,450.05,448.65,370622,1.67218E+13
12-05-2000,460,462.5,445.05,460,461.05,133042,6.10424E+12
15-05-2000,457,466,451,461.9,460.4,86226,3.94839E+12
16-05-2000,465,475,459.1,470.5,471.75,136448,6.37936E+12
17-05-2000,463,468,458.1,462,461.35,74948,3.46834E+12
18-05-2000,460,468,458.5,465.5,465.45,39832,1.84853E+12
19-05-2000,464.5,480,461,478,477.65,171763,8.14877E+12
22-05-2000,472,494.9,472,484.9,486.15,171407,8.3369E+12
23-05-2000,482.6,509,482.6,502,501.9,347519,1.73243E+13
24-05-2000,500,502,482.1,486,486.4,133306,6.51261E+12
25-05-2000,486,493,465.1,473.95,473,177139,8.50237E+12
26-05-2000,479,487.5,467,483,483.3,110859,5.30097E+12
29-05-2000,485,541.3,485,541.3,541.3,290513,1.53504E+13
30-05-2000,565,582.25,525,536,543.65,489406,2.68254E+13
31-05-2000,534,564.6,478.45,478.45,478.45,376551,1.87661E+13
01-06-2000,474,509,465,499,496.35,186396,9.26924E+12
02-06-2000,499.9,531.9,495.05,520,525.35,233704,1.20563E+13
05-06-2000,535.5,567,520,550,544.7,394704,2.15659E+13
06-06-2000,550,558,525.05,528.25,530.7,115759,6.20188E+12
07-06-2000,520,532.5,510.05,514,513.2,76195,3.96038E+12
08-06-2000,520,525,500.1,514,515.25,44315,2.2928E+12
09-06-2000,519.4,525,502.5,509,509.35,111189,5.72344E+12
12-06-2000,520,520,490.1,501.35,503.6,83924,4.20286E+12
13-06-2000,495.1,505,488.1,495,495.35,66043,3.28238E+12
14-06-2000,500,501,485,489.45,488.2,146425,7.1791E+12
15-06-2000,481,487.8,481,485,484.85,75944,3.67557E+12
16-06-2000,484,510,484,500,499.85,178483,8.95212E+12
19-06-2000,502,509,502,504,504.1,45869,2.31551E+12
20-06-2000,510,512,503.1,506.95,509.2,121053,6.13974E+12
21-06-2000,513,531.85,508,525,525.1,265450,1.37973E+13
22-06-2000,525,538.5,508,526,525.35,297463,1.56042E+13
23-06-2000,517,545,517,535,536.25,138667,7.39342E+12
26-06-2000,540,546.95,526,541.45,541.15,83926,4.53447E+12
27-06-2000,545,570.5,540,561.9,558.2,297150,1.65763E+13
28-06-2000,580,580,538.15,560,551.55,270766,1.49955E+13
29-06-2000,557,560,544.6,547.25,548.15,83919,4.61614E+12
30-06-2000,548,556,542.25,552.9,551.65,66898,3.68602E+12
03-07-2000,554,566,541.25,548,548.7,92669,5.09406E+12
04-07-2000,543,543,471,480,480,503511,2.5489E+13
05-07-2000,452.3,501,452.3,485,484.65,129247,6.29717E+12
06-07-2000,491.9,521,490,508.55,511.25,348831,1.77499E+13
07-07-2000,513,514,496,505,499.9,115980,5.84356E+12
10-07-2000,505,509,487,489.25,489.85,85557,4.24651E+12
11-07-2000,486,492,479,480.5,481.2,109243,5.29038E+12
12-07-2000,489,499,482,491,490.55,88910,4.36177E+12
13-07-2000,505,510,486.5,489.25,487.65,27391,1.34442E+12
14-07-2000,488.95,492,475.05,478.1,478.55,54664,2.64559E+12
17-07-2000,480,489,475,485.8,480.95,75105,3.60484E+12
18-07-2000,481,488,472.25,475,475.55,90503,4.33959E+12
19-07-2000,479.9,479.9,463,475,475.3,63061,2.99168E+12
20-07-2000,480,521.2,480,510,511.65,367471,1.86285E+13
21-07-2000,518,535,502,508.35,509.25,127708,6.51504E+12
24-07-2000,504.65,509.95,497.5,503,501,210130,1.05239E+13
25-07-2000,501,503,485,499.75,498.4,115553,5.73394E+12
26-07-2000,498,505,493,500,499.75,64374,3.21992E+12
27-07-2000,495,503,490,502,500.3,44094,2.19548E+12
28-07-2000,500,504.5,496.6,500,500.05,50445,2.52425E+12
31-07-2000,498.3,511,498.3,511,505.9,94180,4.76343E+12
01-08-2000,507,510,497.25,499,499.3,52552,2.64207E+12
02-08-2000,496,502.65,481.5,492.65,491.75,40995,2.00652E+12
03-08-2000,488.2,491.5,484.25,487.1,489.15,24842,1.21269E+12
04-08-2000,488,509.5,485,502.35,503.15,71306,3.56055E+12
07-08-2000,502.7,504.9,498.6,502.1,502.75,36588,1.83441E+12
08-08-2000,501,509,499.05,502.25,505.55,56571,2.84125E+12
09-08-2000,506,508,483,493.9,493.55,266799,1.31006E+13
10-08-2000,494,501.9,488,498,496.05,76137,3.76445E+12
11-08-2000,499,506,491.25,502.5,504.95,67547,3.38307E+12
14-08-2000,501,505,496,503.5,503.15,141596,7.06957E+12
16-08-2000,505.9,529,491,521,522.8,274144,1.42108E+13
17-08-2000,522.1,525.5,511,513,513,90674,4.67099E+12
18-08-2000,512,512,498,502,501.1,151262,7.59124E+12
21-08-2000,502.5,505,480,490,490.4,202019,9.84917E+12
22-08-2000,481.5,492,481.5,482.6,482.9,68501,3.32199E+12
23-08-2000,488,494.5,486.1,489.9,489.6,38124,1.87262E+12
24-08-2000,494,500,490,496,495.35,55313,2.74004E+12
25-08-2000,494,503,493.6,500.5,500.5,51534,2.56594E+12
28-08-2000,499,505,496.7,501.25,500.7,26173,1.31042E+12
29-08-2000,500,508,497.65,504.15,505,42736,2.1504E+12
30-08-2000,505.65,524.6,505.5,519.05,520.15,157252,8.1427E+12
31-08-2000,518,526.85,513,525,524.05,89302,4.66668E+12
04-09-2000,528,530,521,526.5,528.25,61044,3.21227E+12
05-09-2000,528.2,548,523.5,545.1,544.6,125297,6.7672E+12
06-09-2000,540,541.9,530.5,538,539.95,80183,4.31574E+12
07-09-2000,532,546,532,535,534.3,37091,1.99827E+12
08-09-2000,545.9,545.9,528.15,535.1,532.2,48338,2.5756E+12
11-09-2000,535,540,525.1,529,529.45,44298,2.35512E+12
12-09-2000,525,525,515.7,523,520.65,85041,4.42524E+12
13-09-2000,517,517.95,504,505,506,24083,1.23088E+12
14-09-2000,507,516,504,512,513.55,74308,3.79741E+12
15-09-2000,514,515,505,508,507.5,16394,8.3344E+11
18-09-2000,501.35,505,491.3,501.95,499.55,31191,1.54832E+12
19-09-2000,495,506,495,498,502.05,82215,4.12048E+12
20-09-2000,515,515,495,500,500,93344,4.66748E+12
21-09-2000,504.9,515,496,499.75,499.7,9034,4.50433E+11
22-09-2000,496,496,460,475.5,481,93283,4.50511E+12
25-09-2000,477,482,471.1,474,474.95,58814,2.7987E+12
26-09-2000,465.05,474,438.8,446.9,445.15,93281,4.19777E+12
27-09-2000,447,447,411,427.9,426.55,197496,8.44427E+12
28-09-2000,430,455.15,425,440,441.05,137758,6.10185E+12
29-09-2000,444.85,445.9,432,438,437.85,51642,2.26882E+12
03-10-2000,437,441.9,430,435,433.9,51337,2.2445E+12
04-10-2000,440,448,437,438,439,42998,1.90487E+12
05-10-2000,442.75,443,438,439.45,439,18587,8.16897E+11
06-10-2000,441,451,434.25,447,449.45,32817,1.45052E+12
09-10-2000,446,452.9,443,450.8,449.25,26358,1.18255E+12
10-10-2000,448,458.75,448,454.25,455.95,31169,1.41206E+12
11-10-2000,450,455,440.05,450,448.6,27083,1.21335E+12
12-10-2000,445,451.25,441.05,451,449.65,13790,6.17061E+11
13-10-2000,445,454,442.5,451,450,33442,1.50108E+12
16-10-2000,453.9,469.9,427,448.55,450.85,73521,3.26604E+12
17-10-2000,444.05,465,435,458.1,458.8,45917,2.06788E+12
18-10-2000,461,464.55,440.1,463.05,458.75,70260,3.16968E+12
19-10-2000,456.7,480,453.15,474,477.4,62259,2.91911E+12
20-10-2000,485,488,465,467,469.75,44984,2.12008E+12
23-10-2000,469,472,463.1,463.75,464.65,45611,2.12333E+12
24-10-2000,462,467,453.1,453.5,457.35,42967,1.9813E+12
25-10-2000,458,464.8,457,462,462.2,54271,2.4959E+12
