Date,Open,High,Low,Close,Volume,Symbol
18-02-2002,51.9,51.9,43.5,44.35,10381190,BHARTIARTL
19-02-2002,45.15,45.15,41.3,41.7,3552660,BHARTIARTL
20-02-2002,40.6,42.8,40.25,41.25,2512964,BHARTIARTL
21-02-2002,42.85,43.4,42.15,42.4,1338196,BHARTIARTL
22-02-2002,42.65,43.6,41.1,43.3,811327,BHARTIARTL
25-02-2002,45.5,45.5,42.65,42.8,454151,BHARTIARTL
26-02-2002,43.15,44.2,42.9,43.6,894960,BHARTIARTL
27-02-2002,43.95,46.3,43.75,44.65,3271361,BHARTIARTL
28-02-2002,46,46.8,40.8,41.5,4429634,BHARTIARTL
01-03-2002,42,43.4,41.8,42.5,942785,BHARTIARTL
04-03-2002,43.1,44.25,42.85,43.3,615152,BHARTIARTL
05-03-2002,44.2,45.5,43.7,45.3,1490137,BHARTIARTL
06-03-2002,45.9,46.7,44.8,45.1,1989742,BHARTIARTL
07-03-2002,45.9,45.9,44.75,44.95,675801,BHARTIARTL
08-03-2002,45.2,45.25,43.7,43.9,273519,BHARTIARTL
11-03-2002,44.5,45.4,43.1,43.3,217122,BHARTIARTL
12-03-2002,43.4,43.45,41.9,42.1,321384,BHARTIARTL
13-03-2002,42.1,42.65,41.5,41.9,228034,BHARTIARTL
14-03-2002,42,42.4,41.05,41.45,302924,BHARTIARTL
15-03-2002,42,42.5,41.35,41.95,402993,BHARTIARTL
18-03-2002,43,43,41.55,41.75,387469,BHARTIARTL
19-03-2002,42.1,42.9,40.4,40.7,505251,BHARTIARTL
20-03-2002,40.9,41.35,40.25,40.5,413147,BHARTIARTL
21-03-2002,40.6,41,40.4,40.6,171711,BHARTIARTL
22-03-2002,40.8,41.45,39.5,39.85,225579,BHARTIARTL
26-03-2002,40.75,40.75,38.9,39,190075,BHARTIARTL
27-03-2002,40.9,40.9,39,39.1,175456,BHARTIARTL
28-03-2002,39.2,39.35,38,38.55,247315,BHARTIARTL
01-04-2002,39.4,40.1,38.65,38.9,169309,BHARTIARTL
02-04-2002,38.95,39,37.05,37.3,401427,BHARTIARTL
03-04-2002,37.25,38,35.7,36.1,434081,BHARTIARTL
04-04-2002,36.9,39.45,36.5,38.6,461590,BHARTIARTL
05-04-2002,39,39.65,38.05,38.2,278024,BHARTIARTL
08-04-2002,38.8,39,37,37.15,264685,BHARTIARTL
09-04-2002,37.9,38.95,37.5,37.75,330822,BHARTIARTL
10-04-2002,38,38,36.4,37.15,393221,BHARTIARTL
11-04-2002,37.9,39.6,37.9,38.55,462716,BHARTIARTL
12-04-2002,38.35,38.4,37.4,37.75,365658,BHARTIARTL
15-04-2002,37.5,38.8,37.1,37.85,309167,BHARTIARTL
16-04-2002,38,38.4,37.75,37.85,207262,BHARTIARTL
17-04-2002,38.35,38.45,37.25,37.4,221096,BHARTIARTL
18-04-2002,37.9,37.95,37.3,37.5,125768,BHARTIARTL
19-04-2002,37.9,37.9,36.75,36.95,159582,BHARTIARTL
22-04-2002,37.8,37.8,36.55,36.7,209825,BHARTIARTL
23-04-2002,37.4,37.5,35.9,36,304296,BHARTIARTL
24-04-2002,36.2,36.9,36.2,36.75,153154,BHARTIARTL
25-04-2002,36.9,37,36.2,36.3,260518,BHARTIARTL
26-04-2002,36.15,36.7,35.7,35.9,324142,BHARTIARTL
29-04-2002,35.75,37.3,35.25,35.7,388628,BHARTIARTL
30-04-2002,35.6,36,34.9,35,267446,BHARTIARTL
02-05-2002,35.25,35.6,34.35,34.85,521349,BHARTIARTL
03-05-2002,35,35,33.9,34.1,418258,BHARTIARTL
06-05-2002,34.5,34.6,33.8,34,849209,BHARTIARTL
07-05-2002,33.8,34.2,33.8,34.05,614737,BHARTIARTL
08-05-2002,34.25,34.45,34,34.25,985787,BHARTIARTL
09-05-2002,35.45,37.25,34.5,35.8,889295,BHARTIARTL
10-05-2002,37.05,38.3,36.1,36.4,1040862,BHARTIARTL
13-05-2002,35.85,37,35.8,36.05,265570,BHARTIARTL
14-05-2002,36.3,36.55,35.25,35.55,259521,BHARTIARTL
15-05-2002,35.7,35.85,34.6,34.95,338589,BHARTIARTL
16-05-2002,35.25,35.25,34.2,34.55,367218,BHARTIARTL
17-05-2002,34.25,34.8,34.25,34.7,697619,BHARTIARTL
20-05-2002,34.05,34.45,33.2,33.65,846600,BHARTIARTL
21-05-2002,33.2,33.5,32.25,33.05,1188202,BHARTIARTL
22-05-2002,33.1,35.3,33,33.7,330183,BHARTIARTL
23-05-2002,33.95,33.95,32.8,33,268447,BHARTIARTL
24-05-2002,33.5,34,33.1,33.45,270784,BHARTIARTL
27-05-2002,34.2,34.2,33.05,33.2,154536,BHARTIARTL
28-05-2002,33.5,33.5,32.65,32.85,877260,BHARTIARTL
29-05-2002,32.6,33.5,32.25,32.4,358157,BHARTIARTL
30-05-2002,32.1,32.6,31.9,32,268915,BHARTIARTL
31-05-2002,32.5,32.55,31.6,32.2,126001,BHARTIARTL
03-06-2002,33.1,33.5,32.1,32.2,84769,BHARTIARTL
04-06-2002,33,33.5,32,32.9,860401,BHARTIARTL
05-06-2002,33.5,33.75,32.5,32.65,243850,BHARTIARTL
06-06-2002,33.4,36.15,33,35.65,740010,BHARTIARTL
07-06-2002,34.5,36.65,33.6,33.95,572510,BHARTIARTL
10-06-2002,34.75,34.85,33.55,33.75,362233,BHARTIARTL
11-06-2002,34.6,35.25,34.25,34.45,239454,BHARTIARTL
12-06-2002,34.5,34.75,33.5,33.6,290225,BHARTIARTL
13-06-2002,34.3,34.3,32.65,32.8,312706,BHARTIARTL
14-06-2002,33.05,33.8,33.05,33.45,207995,BHARTIARTL
17-06-2002,36,38.5,35,35.7,1078596,BHARTIARTL
18-06-2002,36.1,36.35,34.65,35,412009,BHARTIARTL
19-06-2002,35,35.3,34,34.15,241134,BHARTIARTL
20-06-2002,33.95,34.6,33.8,34.3,179642,BHARTIARTL
21-06-2002,35.1,35.1,33.75,33.9,199036,BHARTIARTL
24-06-2002,34,34.1,33.45,33.75,326210,BHARTIARTL
25-06-2002,34.35,34.35,33.2,33.75,153266,BHARTIARTL
26-06-2002,33.95,33.95,33.1,33.3,135128,BHARTIARTL
27-06-2002,33.5,33.7,33.3,33.4,117921,BHARTIARTL
28-06-2002,34.9,34.9,33.5,34,156815,BHARTIARTL
01-07-2002,34.05,35.5,33.5,34.8,381852,BHARTIARTL
02-07-2002,33.5,35.6,33.5,35.5,304839,BHARTIARTL
03-07-2002,36,36,34.95,35.15,258959,BHARTIARTL
04-07-2002,35.75,36.25,35.25,36,517457,BHARTIARTL
05-07-2002,35.05,35.45,34,34.2,407041,BHARTIARTL
08-07-2002,34.25,34.7,33.75,34,257784,BHARTIARTL
09-07-2002,34.3,34.35,33.45,33.55,296310,BHARTIARTL
10-07-2002,34.2,34.45,33.35,33.45,378638,BHARTIARTL
11-07-2002,34,34,32.5,32.6,498249,BHARTIARTL
12-07-2002,33.2,33.2,31.95,32.1,546586,BHARTIARTL
15-07-2002,32,32.35,31.65,31.8,276326,BHARTIARTL
16-07-2002,30.95,32,30.95,31.75,220883,BHARTIARTL
17-07-2002,31.6,31.95,31.05,31.25,220988,BHARTIARTL
18-07-2002,32.1,32.25,31.5,31.6,111224,BHARTIARTL
19-07-2002,31.9,31.95,31.5,31.6,123345,BHARTIARTL
22-07-2002,31.8,31.9,31,31.45,194096,BHARTIARTL
23-07-2002,31.5,31.5,30.55,31.1,218885,BHARTIARTL
24-07-2002,31.2,31.2,30.5,30.8,112715,BHARTIARTL
25-07-2002,31.5,32,31.15,31.2,177297,BHARTIARTL
26-07-2002,30.6,31,30.15,30.5,197183,BHARTIARTL
29-07-2002,31.5,31.5,30.25,30.5,221387,BHARTIARTL
30-07-2002,31.5,31.5,30.35,30.45,210715,BHARTIARTL
31-07-2002,30.5,31.6,29.3,31.35,427374,BHARTIARTL
01-08-2002,31,31.1,29.9,30.25,277918,BHARTIARTL
02-08-2002,30.1,30.3,29.8,30.15,126344,BHARTIARTL
05-08-2002,30.3,30.5,30.1,30.2,59909,BHARTIARTL
06-08-2002,30.35,30.35,29.9,30,121860,BHARTIARTL
07-08-2002,30.45,30.55,29.8,30,132852,BHARTIARTL
08-08-2002,30.35,30.35,29.85,30,82212,BHARTIARTL
09-08-2002,29.95,30.2,29.85,30,101452,BHARTIARTL
12-08-2002,30,30.3,29.8,30.25,74424,BHARTIARTL
13-08-2002,30.15,30.5,30,30.35,36201,BHARTIARTL
14-08-2002,30.15,30.5,30.15,30.3,37079,BHARTIARTL
16-08-2002,30.5,31.75,30.25,31.35,148689,BHARTIARTL
19-08-2002,31.2,32.5,30.8,32.25,171638,BHARTIARTL
20-08-2002,32.8,33.6,32.1,33.1,298633,BHARTIARTL
21-08-2002,33.75,33.75,32,33.25,125197,BHARTIARTL
22-08-2002,33.5,33.5,32.15,32.3,85556,BHARTIARTL
23-08-2002,32.5,33,32.1,32.55,77472,BHARTIARTL
26-08-2002,32.8,33,32.2,32.35,43662,BHARTIARTL
27-08-2002,32.35,32.55,32.05,32.1,58757,BHARTIARTL
28-08-2002,32.3,32.3,31.45,31.95,80606,BHARTIARTL
29-08-2002,32,32.1,31.05,31.1,59884,BHARTIARTL
30-08-2002,31,32.9,30.85,32.5,214136,BHARTIARTL
02-09-2002,33,33.85,32.65,32.95,207295,BHARTIARTL
03-09-2002,32.75,32.75,32.1,32.45,94889,BHARTIARTL
04-09-2002,32,33.6,32,32.9,177676,BHARTIARTL
05-09-2002,33.3,33.5,32.9,33,112637,BHARTIARTL
06-09-2002,33.5,33.5,32.3,32.5,105028,BHARTIARTL
09-09-2002,32.1,32.9,31.75,31.85,201523,BHARTIARTL
11-09-2002,32.6,32.6,31.7,31.9,38624,BHARTIARTL
12-09-2002,32,34.3,31.8,32.5,253743,BHARTIARTL
13-09-2002,32.95,34.5,32.5,34.05,1269675,BHARTIARTL
16-09-2002,34.2,35.35,32.45,34.25,493652,BHARTIARTL
17-09-2002,34.75,35.05,34,34.85,1196452,BHARTIARTL
18-09-2002,34.9,35.25,34.15,34.3,194907,BHARTIARTL
19-09-2002,33.6,35,30.65,31.4,3223173,BHARTIARTL
20-09-2002,31.5,34.15,31,33.7,572997,BHARTIARTL
23-09-2002,33.85,33.9,32.5,32.65,77977,BHARTIARTL
24-09-2002,32.5,32.5,31,31.15,472313,BHARTIARTL
25-09-2002,31,32.6,30.9,31.65,338969,BHARTIARTL
26-09-2002,31.5,32.1,31.2,31.35,151451,BHARTIARTL
27-09-2002,31.9,32.35,31.25,32,134502,BHARTIARTL
30-09-2002,32,32,31.2,31.3,92504,BHARTIARTL
01-10-2002,31.5,32.15,31.35,32.05,182073,BHARTIARTL
03-10-2002,32.2,32.2,31.25,32,123567,BHARTIARTL
04-10-2002,32.2,32.2,31.75,32.05,108118,BHARTIARTL
07-10-2002,31.95,32.1,31.5,31.85,135318,BHARTIARTL
08-10-2002,32.05,36.95,31.3,32,282030,BHARTIARTL
09-10-2002,32.2,32.4,31.55,31.6,81933,BHARTIARTL
10-10-2002,31.5,31.7,31.3,31.4,43406,BHARTIARTL
11-10-2002,31.85,31.85,31.15,31.3,54553,BHARTIARTL
14-10-2002,31.9,31.9,31,31.1,37893,BHARTIARTL
16-10-2002,31.45,31.5,30.2,30.4,222161,BHARTIARTL
17-10-2002,30.35,30.5,29.85,29.95,133711,BHARTIARTL
18-10-2002,30,30.2,29.75,29.8,149237,BHARTIARTL
21-10-2002,29.7,30,29.5,29.65,66233,BHARTIARTL
