Date,Open,High,Low,Close,Volume,Symbol
25-08-2004,1198.7,1198.7,979,987.95,17116372,Tata
26-08-2004,992,997,975.3,979,5055400,Tata
27-08-2004,982.4,982.4,958.55,962.65,3830750,Tata
30-08-2004,969.9,990,965,986.75,3058151,Tata
31-08-2004,986.5,990,976,988.1,2649332,Tata
01-09-2004,990,995,983.6,987.9,2491943,Tata
02-09-2004,989.9,1004.6,986,993.65,2669544,Tata
03-09-2004,1006,1100,990.35,997.85,1233732,Tata
06-09-2004,1039.9,1039.9,992.9,994.85,1129834,Tata
07-09-2004,1035,1035,995,995.6,721529,Tata
08-09-2004,996,1000.8,991.1,993.7,824248,Tata
09-09-2004,997,997.9,978.45,979.95,993398,Tata
10-09-2004,990,990,976,988.8,801884,Tata
13-09-2004,991,1015.5,991,1003.5,2613114,Tata
14-09-2004,1005,1018.8,1002.95,1015.65,1916934,Tata
15-09-2004,1018,1020,1001.2,1006.1,1498536,Tata
16-09-2004,1007,1015,1002.5,1008.45,919778,Tata
17-09-2004,1012,1029.9,1010.3,1024.5,1828487,Tata
20-09-2004,1032.4,1036.9,1020.15,1022.9,1069028,Tata
21-09-2004,1024.85,1048.5,1022,1045.8,1737135,Tata
22-09-2004,1048.4,1056,1037.1,1052.05,1921448,Tata
23-09-2004,1048,1049,1027,1030.25,1977460,Tata
24-09-2004,1029.1,1040,1026,1028.8,1010401,Tata
27-09-2004,1027.5,1032.5,1015,1020.75,1028689,Tata
28-09-2004,1016,1027.4,1012.5,1015.55,792427,Tata
29-09-2004,1019.25,1033,1016.15,1031,1467147,Tata
30-09-2004,1035.6,1040.9,1020.65,1027.1,1565179,Tata
01-10-2004,1029,1056.45,1026.35,1047.7,1371111,Tata
04-10-2004,1057,1081,1054.45,1076.5,1891228,Tata
05-10-2004,1080.3,1089,1075.5,1080.7,1792661,Tata
06-10-2004,1081,1102.8,1075.05,1081.6,2208833,Tata
07-10-2004,1083,1100,1083,1097.1,1260016,Tata
08-10-2004,1098,1111,1095,1098.05,1069865,Tata
09-10-2004,1099.9,1103.85,1094.25,1100.65,258539,Tata
11-10-2004,1100,1111.5,1085,1089.3,1166507,Tata
12-10-2004,1110,1115,1077.65,1084.45,1950064,Tata
14-10-2004,1103,1124,1088.05,1116.2,2403248,Tata
15-10-2004,1121.7,1141,1117.25,1126,2224968,Tata
18-10-2004,1134,1142,1125.25,1137.25,1711668,Tata
19-10-2004,1140.15,1148.7,1136.1,1143.2,1470891,Tata
20-10-2004,1144.8,1149.9,1129,1133.25,900854,Tata
21-10-2004,1137.25,1139,1122,1125.55,801690,Tata
25-10-2004,1125,1127,1110.75,1117.35,1173784,Tata
26-10-2004,1115.6,1140.95,1115.6,1137.2,866595,Tata
27-10-2004,1142.25,1148,1135.2,1139.9,979707,Tata
28-10-2004,1145,1174.8,1145,1165.95,2323927,Tata
29-10-2004,1167.95,1167.95,1145.15,1156.25,1082722,Tata
01-11-2004,1150,1174.45,1142.3,1170.65,767196,Tata
02-11-2004,1130,1179.75,1125,1159.7,1108005,Tata
03-11-2004,1161,1184,1161,1175.2,1122267,Tata
04-11-2004,1181.75,1187.9,1167.7,1170.4,819476,Tata
05-11-2004,1173.95,1180,1160,1165.45,627981,Tata
08-11-2004,1165,1188.9,1156,1184.15,1286466,Tata
09-11-2004,1187,1197.9,1177,1188.4,917339,Tata
10-11-2004,1191,1199,1190.1,1194.35,716799,Tata
11-11-2004,1199,1203.4,1191.1,1196.25,654391,Tata
12-11-2004,1204,1208,1190.2,1196.75,226676,Tata
16-11-2004,1198,1198,1184,1190.9,500688,Tata
17-11-2004,1191.5,1209.9,1191.5,1205.4,683492,Tata
18-11-2004,1209.45,1234.55,1206.5,1231,934016,Tata
19-11-2004,1233,1237,1211.1,1217.1,851595,Tata
22-11-2004,1207.8,1226,1195,1222.45,592284,Tata
23-11-2004,1230.6,1242,1224.15,1235.55,539099,Tata
24-11-2004,1239,1245,1230.15,1233.9,402913,Tata
25-11-2004,1234,1244,1208.65,1216.85,788859,Tata
29-11-2004,1216,1247.7,1205.55,1243.9,660186,Tata
30-11-2004,1248.15,1286,1245,1274.65,1313518,Tata
01-12-2004,1281,1281,1257,1261.55,1060233,Tata
02-12-2004,1265,1277,1239.1,1242.6,1207213,Tata
03-12-2004,1249.25,1255.9,1221.55,1236.75,1222152,Tata
06-12-2004,1240,1250,1208.5,1214.55,1434234,Tata
07-12-2004,1216,1232.9,1215,1218.25,982903,Tata
08-12-2004,1218,1226.6,1196.05,1200.8,916176,Tata
09-12-2004,1204.95,1217,1204.85,1211.45,475153,Tata
10-12-2004,1220,1235.5,1214,1225.65,777101,Tata
13-12-2004,1226,1241.65,1225.25,1236.15,624529,Tata
14-12-2004,1242,1244.7,1230.3,1233.15,385438,Tata
15-12-2004,1244,1254.75,1238,1245.5,721584,Tata
16-12-2004,1248.45,1265,1238,1262.65,543808,Tata
17-12-2004,1260,1274.8,1252.1,1256.5,688719,Tata
20-12-2004,1260,1268.5,1256.5,1262.55,283553,Tata
21-12-2004,1264.95,1277,1263.15,1272.7,432314,Tata
22-12-2004,1275.1,1275.1,1230,1240.15,750214,Tata
23-12-2004,1247.7,1247.7,1225,1227.85,493614,Tata
24-12-2004,1232.95,1272,1221.55,1267.95,832732,Tata
27-12-2004,1270,1285,1262.2,1270.55,550063,Tata
28-12-2004,1272,1314,1266.2,1309.35,1201806,Tata
29-12-2004,1316.95,1336.9,1313.15,1320.25,829153,Tata
30-12-2004,1318,1328,1291.85,1296.65,703349,Tata
31-12-2004,1300,1338.8,1296.65,1335.45,612414,Tata
03-01-2005,1335.45,1356.7,1335.45,1353.25,591771,Tata
04-01-2005,1350,1354,1333.15,1341.25,622388,Tata
05-01-2005,1340.2,1340.2,1280.3,1325,1200540,Tata
06-01-2005,1320,1346,1292.5,1320.45,1000861,Tata
07-01-2005,1330,1345,1312.65,1339.95,952892,Tata
10-01-2005,1348.65,1359.4,1322,1327.45,940196,Tata
11-01-2005,1330,1335.3,1301,1313.75,998297,Tata
12-01-2005,1325.95,1367.95,1286.7,1298.05,2590004,Tata
13-01-2005,1310,1338.7,1275,1292.9,3469744,Tata
14-01-2005,1304.7,1317.9,1277,1296.4,1969722,Tata
17-01-2005,1309.6,1309.6,1240.2,1263.25,1706398,Tata
18-01-2005,1274.7,1284,1257.5,1263.85,772908,Tata
19-01-2005,1266,1273.7,1251.1,1255.4,442311,Tata
20-01-2005,1255,1255,1230,1243.7,567025,Tata
24-01-2005,1243.7,1247.35,1215.35,1220.65,453524,Tata
25-01-2005,1214.8,1239.9,1207.1,1235.45,558241,Tata
27-01-2005,1243.25,1253.8,1235.3,1240.55,681918,Tata
28-01-2005,1242.85,1294.8,1242.5,1289.2,1049227,Tata
31-01-2005,1298,1311.8,1290.25,1300.4,731673,Tata
01-02-2005,1307,1320,1287,1315.25,1002480,Tata
02-02-2005,1319,1323.45,1303,1308.95,608807,Tata
03-02-2005,1312,1314.75,1302,1311.1,415952,Tata
04-02-2005,1310,1322,1300.55,1306.45,335505,Tata
07-02-2005,1312.6,1330.7,1301,1313.75,743027,Tata
08-02-2005,1313.75,1323,1308,1316,410554,Tata
09-02-2005,1321,1343.6,1320.75,1332.8,692242,Tata
10-02-2005,1330,1343.5,1323,1332.65,547081,Tata
11-02-2005,1338,1387,1338,1381.75,1295887,Tata
14-02-2005,1391.05,1418,1391.05,1409.65,1109408,Tata
15-02-2005,1410,1415,1374,1381.35,497090,Tata
16-02-2005,1399,1399,1361,1368.15,390854,Tata
17-02-2005,1368.15,1386,1350.6,1381.85,515622,Tata
18-02-2005,1380,1392,1355,1375,318143,Tata
21-02-2005,1371,1375.8,1345.1,1365.55,222144,Tata
22-02-2005,1364.7,1369.95,1351,1363.45,267380,Tata
23-02-2005,1363.45,1382.1,1355.15,1374.95,645852,Tata
24-02-2005,1374.95,1395.9,1361.2,1367.95,1350805,Tata
25-02-2005,1376.8,1379,1353.15,1364.05,633862,Tata
28-02-2005,1379,1385,1340,1380.9,800301,Tata
01-03-2005,1381,1440,1351,1357.45,619769,Tata
02-03-2005,1375,1375,1361.6,1368,332264,Tata
03-03-2005,1370,1395,1364,1389.55,361395,Tata
04-03-2005,1394,1403.5,1382,1392.25,502234,Tata
07-03-2005,1395,1408,1394,1400.2,457254,Tata
08-03-2005,1404,1420.9,1395.35,1413.95,628460,Tata
09-03-2005,1409,1426.5,1395.05,1407.5,677761,Tata
10-03-2005,1410,1410,1390.25,1399.55,287785,Tata
